"hh_id","region","urban","sex_head","age_head","education_head","employment_type","asset_index","subjective_poverty","food_insecurity","household_size","program_access","chronic_illness"
336,"South","Urban","Female",64,"Secondary+","Informal","Medium","Well-off","Secure",6,1,0
337,"North","Urban","Female",41,"Primary","Formal","Low","Average","Severe",7,0,1
338,"South","Rural","Male",66,"Primary","Informal","High","Well-off","Secure",8,1,0
339,"Central","Urban","Male",52,"None","Informal","Medium","Poor","Severe",1,0,0
340,"North","Rural","Male",59,"Secondary+","Formal","Low","Well-off","Moderate",9,1,1
341,"North","Urban","Female",49,"Secondary+","Formal","Medium","Poor","Secure",6,0,0
342,"South","Rural","Female",44,"Secondary+","Informal","High","Well-off","Mild",8,0,0
343,"Central","Rural","Male",33,"Primary","Formal","Medium","Poor","Secure",6,0,1
344,"South","Rural","Female",38,"Secondary+","Formal","High","Poor","Moderate",6,1,1
345,"Central","Rural","Female",44,"Primary","Subsistence","High","Poor","Secure",8,0,1
346,"North","Rural","Male",48,"None","Subsistence","High","Poor","Mild",10,0,0
347,"Central","Rural","Male",45,"Secondary+","Subsistence","High","Average","Secure",3,0,0
348,"South","Urban","Female",43,"None","Informal","Low","Poor","Severe",6,0,1
349,"Central","Rural","Male",47,"Secondary+","Formal","High","Poor","Mild",5,0,0
350,"South","Rural","Male",39,"None","Formal","Medium","Poor","Secure",3,0,0
351,"South","Rural","Female",39,"Secondary+","Formal","Low","Average","Moderate",4,0,0
352,"North","Rural","Male",28,"Secondary+","Formal","Low","Well-off","Severe",9,0,0
353,"Central","Rural","Male",55,"Primary","Informal","Low","Average","Moderate",4,0,1
354,"North","Rural","Male",46,"None","Formal","High","Poor","Mild",3,0,0
355,"Central","Rural","Male",44,"None","Informal","Medium","Well-off","Moderate",4,0,0
356,"Central","Urban","Male",36,"Secondary+","Formal","High","Average","Mild",4,0,1
357,"Central","Rural","Male",42,"None","Formal","Low","Average","Secure",3,0,0
358,"Central","Urban","Male",32,"Secondary+","Informal","Low","Well-off","Moderate",6,1,0
359,"North","Rural","Female",32,"None","Subsistence","Low","Poor","Secure",8,0,0
360,"Central","Rural","Male",22,"None","Informal","Low","Well-off","Mild",7,0,0
361,"North","Rural","Male",57,"None","Informal","High","Average","Secure",10,0,0
362,"Central","Urban","Male",47,"None","Formal","Low","Well-off","Severe",10,1,0
363,"North","Rural","Male",32,"Secondary+","Formal","High","Poor","Secure",7,0,0
364,"South","Urban","Male",59,"None","Formal","High","Well-off","Moderate",10,1,0
365,"Central","Rural","Male",52,"Secondary+","Subsistence","Medium","Poor","Secure",2,0,0
366,"North","Urban","Female",54,"Secondary+","Formal","High","Poor","Severe",9,0,0
367,"South","Urban","Male",42,"None","Formal","Medium","Poor","Secure",2,1,0
368,"Central","Rural","Male",40,"Primary","Informal","Low","Poor","Mild",7,0,0
369,"South","Rural","Female",44,"None","Formal","High","Well-off","Severe",6,0,0
370,"Central","Urban","Female",50,"None","Formal","Low","Well-off","Moderate",10,0,0
371,"South","Rural","Male",55,"Secondary+","Informal","Low","Average","Severe",4,0,0
372,"South","Rural","Male",64,"Secondary+","Formal","High","Average","Moderate",6,0,0
373,"North","Rural","Male",39,"Secondary+","Subsistence","Low","Average","Secure",3,1,0
374,"Central","Rural","Male",33,"None","Informal","High","Poor","Severe",10,1,0
375,"South","Rural","Male",46,"Secondary+","Subsistence","Low","Poor","Severe",9,0,0
376,"North","Urban","Male",81,"Secondary+","Formal","Medium","Average","Secure",8,0,0
377,"North","Rural","Male",40,"Secondary+","Informal","Medium","Average","Moderate",8,1,0
378,"South","Rural","Male",59,"None","Subsistence","Medium","Well-off","Moderate",4,1,0
379,"Central","Urban","Male",42,"Primary","Subsistence","Low","Poor","Moderate",3,1,0
380,"South","Rural","Male",39,"Secondary+","Formal","Low","Well-off","Mild",1,0,1
381,"Central","Rural","Female",36,"Secondary+","Formal","Low","Well-off","Moderate",2,0,1
382,"Central","Rural","Male",42,"None","Subsistence","Medium","Poor","Mild",7,1,1
383,"Central","Rural","Male",65,"None","Informal","Low","Well-off","Mild",9,0,0
384,"North","Rural","Female",49,"None","Informal","Low","Average","Secure",6,0,0
385,"Central","Rural","Male",51,"None","Formal","Low","Well-off","Moderate",1,0,0
386,"North","Rural","Male",55,"None","Informal","High","Well-off","Moderate",3,0,0
387,"North","Urban","Male",70,"Primary","Formal","Medium","Average","Secure",5,0,0
388,"North","Rural","Male",54,"None","Subsistence","Low","Well-off","Mild",7,0,0
389,"Central","Rural","Male",28,"Secondary+","Subsistence","High","Average","Moderate",8,1,0
390,"Central","Urban","Male",33,"Primary","Subsistence","Low","Poor","Secure",7,0,0
391,"South","Rural","Male",26,"None","Formal","Low","Poor","Mild",6,0,0
392,"South","Rural","Female",11,"Secondary+","Informal","Medium","Well-off","Severe",3,0,0
393,"North","Urban","Male",60,"Secondary+","Formal","High","Average","Moderate",9,0,0
394,"Central","Rural","Male",39,"None","Formal","Low","Average","Secure",4,0,0
395,"Central","Rural","Female",50,"Secondary+","Informal","High","Poor","Secure",7,0,0
396,"South","Rural","Male",59,"Primary","Subsistence","High","Poor","Moderate",8,0,0
397,"South","Urban","Female",39,"Secondary+","Formal","Medium","Average","Secure",4,0,1
398,"South","Rural","Female",43,"Primary","Subsistence","Low","Poor","Severe",5,0,0
399,"South","Urban","Male",49,"Primary","Informal","Medium","Poor","Mild",3,0,1
400,"Central","Rural","Female",48,"Secondary+","Subsistence","Low","Poor","Severe",6,0,1
401,"North","Rural","Male",36,"None","Informal","Medium","Average","Moderate",7,0,1
402,"North","Rural","Male",54,"Primary","Informal","Medium","Average","Secure",9,0,0
403,"South","Urban","Male",52,"Primary","Informal","Medium","Well-off","Secure",7,0,1
404,"North","Rural","Male",42,"Primary","Subsistence","Medium","Well-off","Severe",1,1,0
405,"Central","Rural","Male",30,"None","Formal","High","Well-off","Moderate",8,0,0
406,"Central","Rural","Male",53,"Secondary+","Subsistence","Low","Well-off","Secure",4,0,0
407,"South","Rural","Male",62,"Secondary+","Subsistence","High","Well-off","Secure",2,0,0
408,"Central","Rural","Female",62,"Secondary+","Formal","Low","Average","Secure",10,1,0
409,"North","Rural","Male",55,"Primary","Subsistence","Low","Well-off","Moderate",10,1,0
410,"South","Rural","Male",39,"Secondary+","Formal","Low","Poor","Mild",1,0,0
411,"North","Urban","Male",39,"Primary","Informal","High","Well-off","Mild",7,0,0
412,"North","Rural","Female",38,"Primary","Subsistence","High","Average","Secure",3,1,0
413,"South","Rural","Female",40,"None","Subsistence","Low","Poor","Secure",10,0,0
414,"Central","Urban","Female",54,"None","Subsistence","Medium","Well-off","Secure",10,0,1
415,"North","Rural","Male",48,"Primary","Formal","Medium","Average","Secure",1,0,1
416,"North","Urban","Male",23,"None","Subsistence","High","Poor","Secure",6,0,1
417,"Central","Rural","Female",23,"None","Formal","Low","Poor","Secure",9,1,0
418,"Central","Rural","Male",45,"None","Formal","Medium","Poor","Severe",5,0,0
419,"Central","Rural","Male",47,"None","Formal","High","Well-off","Secure",9,0,0
420,"Central","Rural","Male",17,"Primary","Subsistence","Low","Well-off","Secure",7,0,0
421,"North","Rural","Female",35,"Secondary+","Formal","Low","Average","Severe",6,1,0
422,"South","Rural","Male",45,"Primary","Formal","High","Poor","Secure",5,1,0
423,"South","Rural","Male",63,"Secondary+","Informal","Low","Average","Severe",8,0,0
424,"Central","Rural","Male",21,"None","Formal","Low","Well-off","Secure",2,1,0
425,"South","Rural","Male",30,"None","Subsistence","Low","Average","Mild",2,0,0
426,"South","Rural","Male",32,"Primary","Formal","High","Average","Secure",5,0,0
427,"South","Rural","Male",47,"None","Formal","High","Poor","Moderate",4,0,0
428,"Central","Rural","Male",49,"Secondary+","Subsistence","High","Average","Secure",7,1,0
429,"South","Urban","Male",41,"Secondary+","Formal","Low","Average","Severe",9,0,0
430,"South","Rural","Male",26,"Primary","Formal","Medium","Average","Secure",2,0,0
431,"Central","Rural","Female",37,"None","Formal","High","Average","Secure",3,0,0
432,"Central","Rural","Male",38,"Primary","Informal","Medium","Poor","Severe",7,0,0
433,"South","Urban","Female",43,"Secondary+","Formal","Low","Well-off","Secure",2,0,0
434,"Central","Rural","Male",64,"Secondary+","Subsistence","Medium","Well-off","Severe",8,0,0
435,"South","Urban","Female",37,"Primary","Informal","Medium","Poor","Secure",8,1,0
436,"Central","Rural","Male",46,"None","Subsistence","Low","Average","Mild",2,0,0
437,"Central","Rural","Female",37,"Primary","Informal","Medium","Average","Moderate",10,1,0
438,"North","Rural","Male",30,"None","Subsistence","Low","Average","Mild",8,0,0
439,"Central","Urban","Female",53,"Secondary+","Formal","High","Well-off","Moderate",5,0,0
440,"South","Rural","Male",32,"Secondary+","Formal","Low","Average","Moderate",5,0,0
441,"North","Urban","Female",78,"None","Informal","Low","Well-off","Secure",6,0,0
442,"North","Rural","Male",46,"Primary","Informal","High","Poor","Severe",7,1,0
443,"South","Rural","Male",46,"Secondary+","Subsistence","High","Poor","Mild",2,1,1
444,"Central","Rural","Female",44,"None","Formal","Medium","Well-off","Mild",5,0,0
445,"North","Urban","Male",67,"Secondary+","Informal","Medium","Average","Moderate",3,0,0
446,"North","Rural","Male",53,"Primary","Subsistence","Medium","Poor","Severe",5,0,1
447,"South","Rural","Male",42,"None","Informal","Medium","Poor","Moderate",6,0,0
448,"South","Urban","Male",31,"None","Formal","Low","Poor","Moderate",6,0,0
449,"South","Rural","Male",33,"Secondary+","Formal","Low","Poor","Severe",9,1,0
450,"North","Rural","Male",36,"None","Subsistence","Medium","Average","Moderate",1,0,0
451,"Central","Rural","Male",60,"None","Formal","Medium","Poor","Severe",5,0,0
452,"Central","Rural","Male",43,"Primary","Formal","Low","Poor","Moderate",6,0,0
453,"South","Rural","Female",36,"Secondary+","Informal","High","Average","Severe",6,0,0
454,"South","Urban","Male",55,"Primary","Subsistence","Low","Poor","Mild",8,0,0
455,"South","Rural","Female",61,"Secondary+","Formal","Medium","Poor","Mild",8,0,0
456,"South","Urban","Male",37,"Primary","Formal","High","Average","Secure",2,1,0
457,"Central","Urban","Male",40,"None","Subsistence","Medium","Average","Secure",4,1,1
458,"North","Urban","Male",49,"None","Formal","Low","Average","Mild",8,1,1
459,"South","Rural","Male",45,"None","Formal","Low","Well-off","Moderate",3,1,0
460,"Central","Rural","Male",50,"Secondary+","Subsistence","Low","Poor","Secure",10,0,0
461,"North","Rural","Female",66,"Secondary+","Formal","Low","Poor","Moderate",10,1,0
462,"South","Urban","Female",44,"Secondary+","Subsistence","Low","Poor","Secure",4,0,0
463,"South","Urban","Female",42,"Primary","Formal","Low","Well-off","Moderate",5,1,1
464,"South","Urban","Female",51,"None","Subsistence","Low","Average","Moderate",10,0,0
465,"Central","Urban","Female",44,"Secondary+","Informal","Low","Average","Severe",3,1,0
466,"North","Rural","Male",53,"Secondary+","Subsistence","Low","Poor","Mild",9,1,0
467,"Central","Rural","Male",42,"Primary","Formal","High","Average","Secure",3,0,0
468,"South","Rural","Female",50,"None","Formal","Medium","Average","Secure",1,0,0
469,"North","Rural","Male",26,"Secondary+","Formal","Low","Average","Secure",4,0,0
470,"Central","Rural","Male",45,"Primary","Subsistence","Low","Poor","Secure",7,0,0
471,"North","Urban","Male",39,"None","Subsistence","High","Average","Moderate",9,0,0
472,"Central","Rural","Male",31,"None","Formal","High","Average","Moderate",9,0,0
473,"Central","Urban","Female",40,"None","Informal","High","Poor","Secure",2,0,0
474,"South","Rural","Male",49,"None","Subsistence","Medium","Average","Moderate",8,0,1
475,"Central","Urban","Male",46,"Primary","Subsistence","Low","Average","Severe",8,1,0
476,"Central","Urban","Female",53,"Secondary+","Subsistence","High","Poor","Secure",3,0,0
477,"Central","Urban","Female",56,"Secondary+","Formal","Low","Well-off","Moderate",6,0,0
478,"Central","Urban","Male",55,"Secondary+","Subsistence","Low","Well-off","Secure",8,1,0
479,"Central","Rural","Male",41,"None","Informal","Low","Well-off","Secure",10,1,0
480,"South","Urban","Male",29,"Primary","Informal","Medium","Well-off","Moderate",3,0,0
481,"North","Rural","Male",42,"None","Subsistence","High","Well-off","Moderate",10,0,0
482,"North","Urban","Male",59,"Secondary+","Informal","Medium","Well-off","Mild",5,0,1
483,"South","Rural","Male",44,"Secondary+","Subsistence","Medium","Average","Moderate",5,1,0
484,"South","Rural","Female",25,"Primary","Informal","Medium","Poor","Severe",10,1,0
485,"South","Rural","Female",51,"Primary","Informal","Low","Average","Secure",1,1,0
486,"South","Rural","Male",48,"Secondary+","Informal","Medium","Average","Secure",8,0,0
487,"Central","Urban","Male",40,"Secondary+","Subsistence","Low","Poor","Secure",10,1,1
488,"North","Urban","Male",47,"Secondary+","Informal","Low","Poor","Secure",4,0,0
489,"North","Rural","Male",61,"None","Informal","High","Average","Moderate",4,0,0
490,"South","Urban","Male",61,"None","Informal","Low","Well-off","Secure",6,0,0
491,"Central","Rural","Female",40,"Secondary+","Subsistence","High","Poor","Severe",3,0,0
492,"Central","Rural","Male",45,"Secondary+","Subsistence","Low","Poor","Mild",9,1,0
493,"South","Urban","Female",28,"Primary","Subsistence","Medium","Average","Secure",2,0,0
494,"North","Urban","Female",36,"Primary","Formal","Low","Poor","Mild",4,0,1
495,"South","Rural","Male",69,"Secondary+","Subsistence","Medium","Well-off","Severe",3,1,0
496,"South","Rural","Male",63,"Primary","Informal","High","Average","Moderate",10,0,0
497,"North","Urban","Male",42,"Secondary+","Formal","High","Average","Severe",4,0,1
498,"North","Rural","Male",37,"None","Formal","High","Average","Severe",8,0,0
499,"South","Rural","Male",29,"Secondary+","Formal","Medium","Average","Secure",7,0,0
500,"South","Urban","Male",71,"Secondary+","Subsistence","High","Well-off","Moderate",9,0,0
501,"Central","Urban","Male",46,"None","Informal","Medium","Well-off","Mild",4,1,0
502,"Central","Rural","Male",38,"None","Informal","Medium","Well-off","Secure",1,1,0
503,"South","Rural","Female",58,"Secondary+","Informal","Medium","Average","Moderate",10,1,0
504,"Central","Rural","Male",32,"Primary","Formal","Medium","Well-off","Secure",5,1,0
505,"South","Rural","Female",54,"Secondary+","Formal","Medium","Poor","Moderate",4,1,0
506,"South","Urban","Male",62,"Secondary+","Subsistence","Medium","Well-off","Secure",4,0,0
507,"Central","Urban","Female",42,"Secondary+","Formal","Medium","Average","Severe",6,0,0
508,"South","Rural","Male",62,"None","Formal","Low","Average","Secure",8,0,0
509,"South","Rural","Male",53,"Secondary+","Formal","Medium","Poor","Mild",9,0,0
510,"North","Rural","Male",37,"Secondary+","Formal","Medium","Well-off","Secure",1,1,1
511,"South","Rural","Male",52,"Secondary+","Informal","Medium","Well-off","Secure",3,0,1
512,"North","Rural","Male",37,"None","Informal","Medium","Average","Moderate",4,0,0
513,"Central","Rural","Male",39,"Secondary+","Informal","Medium","Poor","Secure",7,1,1
514,"North","Urban","Male",54,"None","Subsistence","Low","Average","Secure",3,0,0
515,"South","Urban","Female",39,"Primary","Subsistence","Low","Average","Mild",3,0,1
516,"South","Rural","Male",45,"Secondary+","Subsistence","High","Poor","Moderate",3,1,0
517,"Central","Rural","Male",57,"None","Formal","Medium","Average","Mild",9,0,0
518,"Central","Rural","Female",31,"Primary","Subsistence","Low","Average","Moderate",2,1,0
519,"North","Rural","Male",64,"Primary","Subsistence","Medium","Average","Severe",9,0,1
520,"Central","Rural","Male",70,"Primary","Informal","Low","Poor","Moderate",4,0,1
521,"South","Rural","Male",52,"None","Subsistence","Low","Poor","Severe",9,0,0
522,"South","Urban","Male",50,"Primary","Subsistence","Medium","Average","Mild",8,1,0
523,"South","Urban","Female",39,"Secondary+","Formal","Low","Well-off","Moderate",8,0,1
524,"Central","Urban","Male",51,"Secondary+","Formal","Medium","Poor","Mild",3,0,0
525,"North","Rural","Female",39,"Secondary+","Informal","Medium","Average","Moderate",3,0,0
526,"Central","Rural","Male",48,"None","Informal","Medium","Average","Secure",10,0,1
527,"South","Urban","Male",37,"Secondary+","Informal","High","Average","Mild",9,0,0
528,"Central","Urban","Male",54,"Primary","Formal","Medium","Poor","Severe",8,0,0
529,"South","Urban","Male",53,"Secondary+","Subsistence","High","Poor","Severe",7,0,1
530,"South","Rural","Female",60,"Primary","Informal","Low","Average","Secure",2,1,0
531,"North","Rural","Male",69,"Primary","Formal","High","Well-off","Moderate",2,0,0
532,"Central","Rural","Female",37,"Secondary+","Formal","Medium","Average","Moderate",9,1,1
533,"Central","Rural","Male",57,"None","Formal","High","Well-off","Secure",1,0,0
534,"Central","Rural","Male",28,"Secondary+","Subsistence","High","Well-off","Secure",10,1,0
535,"Central","Urban","Female",40,"Primary","Subsistence","Low","Well-off","Secure",2,0,1
536,"Central","Rural","Male",56,"Secondary+","Formal","Low","Well-off","Severe",10,1,0
537,"North","Urban","Male",36,"Primary","Informal","Medium","Poor","Moderate",5,0,0
538,"North","Urban","Male",49,"Secondary+","Subsistence","Medium","Well-off","Mild",8,0,0
539,"South","Urban","Female",34,"Primary","Formal","High","Average","Moderate",7,1,0
540,"North","Urban","Male",41,"None","Subsistence","Low","Well-off","Mild",7,0,0
541,"South","Rural","Male",45,"Primary","Formal","High","Average","Moderate",1,1,0
542,"South","Rural","Male",38,"None","Subsistence","Medium","Well-off","Mild",10,1,0
543,"Central","Urban","Female",22,"Secondary+","Informal","Low","Well-off","Secure",9,0,0
544,"South","Rural","Male",48,"Primary","Informal","High","Well-off","Secure",1,1,0
545,"Central","Urban","Male",51,"Primary","Subsistence","Medium","Well-off","Secure",8,0,0
546,"North","Rural","Female",47,"Primary","Formal","Medium","Average","Mild",9,1,1
547,"North","Rural","Male",39,"Primary","Informal","Medium","Poor","Mild",8,0,0
548,"Central","Urban","Male",56,"None","Formal","High","Poor","Moderate",2,1,1
549,"North","Rural","Male",58,"Secondary+","Informal","Medium","Average","Moderate",9,0,0
550,"South","Rural","Male",17,"Primary","Formal","Low","Well-off","Mild",5,1,0
551,"Central","Rural","Female",58,"None","Informal","Low","Poor","Severe",2,0,0
552,"Central","Rural","Male",24,"None","Subsistence","High","Average","Mild",2,1,0
553,"South","Urban","Female",41,"None","Formal","Low","Average","Secure",8,1,0
554,"North","Rural","Male",32,"None","Informal","Low","Well-off","Secure",7,0,0
555,"North","Rural","Male",37,"None","Informal","High","Average","Secure",2,0,0
556,"Central","Urban","Male",61,"None","Formal","Medium","Poor","Secure",6,1,1
557,"South","Urban","Female",51,"Secondary+","Informal","High","Average","Moderate",6,0,0
558,"North","Rural","Male",51,"Primary","Informal","Low","Poor","Secure",2,0,0
559,"North","Urban","Male",20,"Primary","Formal","Medium","Well-off","Mild",10,1,1
560,"South","Rural","Female",47,"Primary","Subsistence","Medium","Well-off","Secure",5,0,0
561,"South","Rural","Female",53,"Secondary+","Subsistence","Low","Well-off","Moderate",10,0,0
562,"Central","Rural","Male",55,"None","Formal","Medium","Poor","Severe",8,0,0
563,"North","Rural","Male",33,"Secondary+","Subsistence","Low","Poor","Secure",2,0,0
564,"South","Rural","Female",56,"None","Subsistence","Medium","Poor","Secure",4,0,1
565,"South","Rural","Male",28,"Primary","Informal","Medium","Poor","Secure",7,0,0
566,"South","Rural","Female",66,"Primary","Informal","Medium","Poor","Severe",2,1,0
567,"North","Rural","Female",35,"Primary","Formal","Low","Poor","Moderate",9,0,0
568,"South","Urban","Male",54,"None","Informal","Low","Poor","Mild",2,0,1
569,"South","Rural","Female",49,"None","Formal","Low","Poor","Severe",10,0,0
570,"North","Urban","Male",32,"None","Informal","Medium","Poor","Secure",9,0,0
571,"Central","Urban","Female",59,"None","Subsistence","Low","Poor","Severe",6,0,0
572,"North","Rural","Male",45,"Primary","Subsistence","Medium","Poor","Secure",9,1,0
573,"Central","Rural","Male",55,"None","Formal","High","Well-off","Mild",6,1,1
574,"Central","Rural","Male",48,"Primary","Formal","High","Well-off","Severe",10,1,1
575,"North","Rural","Male",55,"Primary","Formal","Low","Average","Mild",1,0,0
576,"South","Urban","Male",45,"Secondary+","Formal","Medium","Well-off","Moderate",8,0,0
577,"North","Rural","Female",58,"Secondary+","Formal","Low","Well-off","Secure",6,0,0
578,"Central","Rural","Male",41,"Secondary+","Formal","High","Average","Secure",2,0,0
579,"Central","Urban","Male",51,"None","Formal","High","Average","Mild",3,0,0
580,"North","Rural","Male",50,"None","Informal","High","Well-off","Mild",6,1,0
581,"Central","Rural","Female",55,"None","Formal","High","Well-off","Severe",9,0,0
582,"North","Urban","Female",38,"Secondary+","Formal","Medium","Average","Mild",2,0,1
583,"North","Rural","Male",47,"None","Informal","Medium","Poor","Mild",2,1,0
584,"Central","Urban","Male",38,"Primary","Subsistence","Medium","Poor","Mild",8,0,0
585,"Central","Rural","Female",56,"Primary","Informal","Medium","Poor","Severe",3,0,1
586,"Central","Urban","Male",37,"Primary","Formal","Medium","Poor","Secure",4,1,0
587,"Central","Urban","Male",66,"None","Formal","Low","Well-off","Mild",2,0,0
588,"South","Rural","Male",54,"Secondary+","Subsistence","Medium","Average","Mild",10,0,0
589,"North","Rural","Female",45,"Secondary+","Informal","Medium","Well-off","Mild",8,0,0
590,"North","Rural","Male",59,"Secondary+","Subsistence","Low","Well-off","Severe",3,1,0
591,"North","Rural","Male",44,"None","Subsistence","Low","Well-off","Severe",6,1,1
592,"North","Rural","Female",52,"Secondary+","Formal","Medium","Well-off","Secure",4,0,0
593,"South","Urban","Male",51,"None","Subsistence","Low","Well-off","Secure",8,1,0
594,"Central","Rural","Female",50,"Primary","Subsistence","Medium","Average","Moderate",2,0,0
595,"North","Rural","Male",38,"Primary","Informal","High","Poor","Severe",5,1,0
596,"North","Urban","Female",30,"None","Informal","Low","Well-off","Moderate",2,0,0
597,"South","Rural","Male",25,"Primary","Informal","Low","Poor","Mild",9,0,0
598,"South","Urban","Male",40,"None","Subsistence","Medium","Average","Secure",6,0,0
599,"North","Urban","Female",53,"Secondary+","Subsistence","Low","Well-off","Mild",8,1,0
600,"North","Urban","Male",42,"Primary","Subsistence","Medium","Average","Secure",2,0,0
601,"Central","Rural","Male",31,"None","Subsistence","Low","Average","Moderate",10,0,0
602,"South","Rural","Male",71,"Primary","Subsistence","Medium","Average","Secure",7,0,0
603,"North","Urban","Male",53,"None","Formal","Low","Poor","Secure",4,1,0
604,"North","Rural","Male",68,"Primary","Subsistence","High","Poor","Moderate",4,0,1
605,"South","Urban","Female",60,"None","Subsistence","Medium","Well-off","Secure",8,0,0
606,"North","Urban","Male",38,"None","Informal","Medium","Average","Secure",4,0,0
607,"Central","Rural","Male",40,"Primary","Formal","Low","Well-off","Mild",6,1,0
608,"Central","Urban","Male",28,"None","Subsistence","Medium","Well-off","Secure",4,1,0
609,"South","Urban","Male",54,"Secondary+","Subsistence","Low","Average","Moderate",2,0,1
610,"North","Rural","Male",64,"None","Formal","Medium","Poor","Mild",6,0,1
611,"South","Urban","Male",34,"Primary","Formal","Low","Poor","Severe",6,0,0
612,"North","Urban","Male",31,"Secondary+","Informal","High","Poor","Moderate",9,0,0
613,"South","Urban","Male",56,"Secondary+","Informal","Medium","Well-off","Moderate",7,0,0
614,"South","Urban","Female",27,"Primary","Formal","Medium","Well-off","Mild",6,0,0
615,"North","Urban","Male",68,"Secondary+","Informal","Low","Poor","Moderate",3,0,0
616,"South","Rural","Male",52,"None","Subsistence","Medium","Well-off","Mild",1,0,0
617,"South","Rural","Male",24,"Primary","Formal","High","Average","Severe",2,0,0
618,"South","Rural","Male",49,"Secondary+","Subsistence","Medium","Poor","Secure",2,1,0
619,"South","Urban","Male",46,"Secondary+","Formal","Low","Average","Moderate",2,0,0
620,"South","Urban","Male",15,"Secondary+","Subsistence","Medium","Well-off","Mild",3,0,0
621,"Central","Urban","Male",44,"Secondary+","Subsistence","Low","Average","Secure",10,0,0
622,"South","Rural","Male",38,"Secondary+","Informal","Medium","Poor","Secure",6,1,0
623,"Central","Rural","Male",34,"None","Formal","Medium","Poor","Mild",1,0,0
624,"South","Rural","Male",48,"None","Subsistence","High","Average","Secure",2,1,1
625,"Central","Rural","Female",55,"None","Formal","Low","Poor","Severe",6,0,0
626,"North","Urban","Male",66,"Primary","Subsistence","High","Well-off","Secure",10,1,0
627,"North","Rural","Female",13,"Primary","Formal","Low","Well-off","Secure",2,1,0
628,"South","Rural","Male",54,"Secondary+","Formal","Medium","Average","Mild",2,1,1
629,"North","Rural","Male",34,"Secondary+","Informal","Medium","Well-off","Moderate",6,0,0
630,"Central","Urban","Male",59,"Secondary+","Formal","Low","Well-off","Secure",2,0,0
631,"North","Rural","Male",49,"Secondary+","Informal","Low","Average","Moderate",6,1,0
632,"Central","Rural","Female",62,"Primary","Informal","High","Average","Secure",1,0,1
633,"Central","Rural","Female",27,"Secondary+","Subsistence","Low","Well-off","Moderate",3,0,1
634,"North","Rural","Male",51,"None","Informal","Medium","Poor","Secure",8,1,1
635,"North","Rural","Female",49,"Primary","Subsistence","High","Average","Mild",2,0,0
636,"Central","Rural","Male",58,"Primary","Subsistence","Low","Well-off","Mild",10,1,0
637,"South","Rural","Female",42,"None","Informal","Medium","Well-off","Mild",3,1,1
638,"North","Rural","Male",59,"Primary","Subsistence","Low","Well-off","Moderate",7,0,1
639,"Central","Rural","Male",40,"Primary","Informal","Low","Poor","Severe",3,0,0
640,"North","Rural","Male",40,"Secondary+","Subsistence","Medium","Poor","Secure",9,1,0
641,"Central","Urban","Female",45,"Primary","Formal","Medium","Average","Secure",5,0,1
642,"South","Rural","Male",32,"Primary","Subsistence","Medium","Well-off","Severe",8,0,1
643,"Central","Urban","Male",40,"Primary","Subsistence","High","Well-off","Moderate",9,0,0
644,"Central","Rural","Male",58,"Primary","Formal","Low","Well-off","Secure",8,0,0
645,"South","Rural","Female",65,"Primary","Subsistence","High","Average","Mild",3,0,0
646,"North","Rural","Male",58,"Primary","Informal","Low","Well-off","Moderate",2,0,0
647,"Central","Urban","Male",40,"Primary","Subsistence","Medium","Poor","Secure",8,0,0
648,"South","Rural","Female",49,"Secondary+","Subsistence","Medium","Poor","Moderate",10,1,0
649,"South","Urban","Male",46,"Primary","Informal","Medium","Well-off","Mild",1,1,1
650,"North","Urban","Male",30,"None","Informal","Low","Poor","Severe",9,0,0
651,"South","Rural","Male",48,"None","Subsistence","Medium","Well-off","Severe",3,1,1
652,"North","Rural","Male",35,"None","Informal","High","Average","Moderate",6,0,0
653,"North","Rural","Male",32,"Secondary+","Formal","Low","Average","Secure",2,0,0
654,"South","Rural","Male",54,"None","Subsistence","Low","Average","Severe",9,0,0
655,"North","Urban","Female",37,"None","Formal","High","Well-off","Mild",8,0,1
656,"North","Rural","Female",43,"Secondary+","Subsistence","Low","Average","Moderate",6,0,0
657,"South","Rural","Male",33,"None","Informal","Medium","Average","Moderate",4,0,0
658,"North","Urban","Male",46,"Primary","Informal","Medium","Poor","Secure",7,0,1
659,"North","Rural","Male",51,"None","Formal","Low","Well-off","Secure",6,0,0
660,"North","Urban","Female",51,"None","Formal","Medium","Average","Secure",7,0,0
661,"Central","Rural","Male",32,"Secondary+","Formal","Low","Well-off","Mild",5,0,1
662,"Central","Urban","Male",60,"Primary","Subsistence","Medium","Well-off","Moderate",7,0,0
663,"Central","Urban","Male",63,"None","Informal","Low","Poor","Moderate",8,1,0
664,"Central","Urban","Male",49,"Secondary+","Informal","Medium","Well-off","Mild",9,0,1
665,"South","Rural","Male",47,"None","Subsistence","High","Average","Secure",1,0,1
666,"South","Urban","Male",46,"Primary","Formal","Medium","Poor","Secure",9,1,0
667,"Central","Rural","Male",48,"None","Subsistence","High","Average","Moderate",9,0,0
668,"North","Rural","Male",50,"Secondary+","Subsistence","Low","Poor","Secure",4,0,0
669,"South","Urban","Male",47,"Secondary+","Formal","Low","Average","Mild",9,1,0
670,"North","Urban","Male",53,"Secondary+","Formal","Medium","Poor","Secure",3,1,0
671,"South","Rural","Male",41,"Primary","Subsistence","Medium","Average","Moderate",1,0,0
